School Name,Ensemble,Director,Year,Grade,Title,Composer/Arranger,Piece Type,Notes
West Carteret High School,Symphonic Band,Andrew T. Wright,2022,VI,"Movement for Rosa, A","Camphouse, Mark",MPA List,
West Carteret High School,Symphonic Band,Andrew T. Wright,2022,VI,"Pearl Fishers, The",Bizet/arr. Cailliet,MPA List,
West Carteret High School,Concert Band,Andrew T. Wright,2023,IV,Normandy Beach,John Edmondson,March,
West Carteret High School,Concert Band,Andrew T. Wright,2023,IV,Folklore for Band,"Caudill, Jim",MPA List,
West Carteret High School,Concert Band,Andrew T. Wright,2023,IV,Ascend (Movement III of Georgian Suite),"Hazo, Samuel",MPA List,
West Carteret High School,Symphonic Band,Andrew T. Wright,2023,VI,Amparito Roca,Jaime Texidor arranged by Aubrey Winter,March,
West Carteret High School,Symphonic Band,Andrew T. Wright,2023,VI,Canzona,"Mennin, Peter",MPA List,
West Carteret High School,Symphonic Band,Andrew T. Wright,2023,VI,"Hounds of Spring, The","Reed, Alfred",MPA List,
West Carteret High School,Concert Band,Andrew T. Wright,2024,IV,Prestissimo,Karl King/James Swearingen,March,
West Carteret High School,Concert Band,Andrew T. Wright,2024,IV,West Highland Sojourn,"Sheldon, Robert",MPA List,
West Carteret High School,Concert Band,Andrew T. Wright,2024,IV,In tantum lux,"Stalter, Todd",MPA List,
West Carteret High School,Symphonic Band,Andrew T. Wright,2024,VI,The Stars And Stripes Forever,John Philip Sousa,March,
West Carteret High School,Symphonic Band,Andrew T. Wright,2024,VI,Second Suite in F (Revised),Holst/arr. Matthews,MPA List,
West Carteret High School,Symphonic Band,Andrew T. Wright,2024,VI,Ride,"Hazo, Samuel",MPA List,
West Craven High School,Concert Band,Cory Lipsky/Hayes Dunlevy,2022,IV,Our Heritage,Karl L. King/James Swearingen,March,
West Craven High School,Concert Band,Cory Lipsky/Hayes Dunlevy,2022,IV,With Every Winter's Breath,"Standridge, Randall",MPA List,
West Craven High School,Concert Band,Cory Lipsky/Hayes Dunlevy,2022,IV,Circle in a Square,"Kiefer, Ed",MPA List,
West Craven High School,Concert Band,Cory Lipsky/Aaryn Torrance,2023,III,Valley Forge,Karl King arranged by James Swearingen,March,
West Craven High School,Concert Band,Cory Lipsky/Aaryn Torrance,2023,III,Two British Folk Songs,"Del Borgo,  Elliot",MPA List,
West Craven High School,Concert Band,Cory Lipsky/Aaryn Torrance,2023,III,Silverbrook,"Sweeney, Michael",MPA List,
West Craven High School,Concert Band,Cory Lipsky/Aaryn Torrance,2024,IV,Bonds of Unity,Karl King/James Swearingen,March,
West Craven High School,Concert Band,Cory Lipsky/Aaryn Torrance,2024,IV,Irish Ayre For Winds,"Barker, Warren",MPA List,
West Craven High School,Concert Band,Cory Lipsky/Aaryn Torrance,2024,IV,Where the Black Hawk Soars,"Smith, Robert W.",MPA List,
West Craven Middle School,Concert Band,Ashley Etheredge/Aaryn Torrance,2023,II,Spania,David Shaffer,March,
West Craven Middle School,Concert Band,Ashley Etheredge/Aaryn Torrance,2023,II,"Song For Friends, A","Daehn, Larry",MPA List,
West Craven Middle School,Concert Band,Ashley Etheredge/Aaryn Torrance,2023,II,Afterburn,"Standridge, Randall",MPA List,
White Oak High School,Symphonic Band,Matthew Langford,2022,IV,March Spiritoso,Claude T. Smith,March,
White Oak High School,Symphonic Band,Matthew Langford,2022,IV,Shenandoah,"Ticheli, Frank",MPA List,
White Oak High School,Symphonic Band,Matthew Langford,2022,IV,Hadrian's Wall,"Smith, Robert",MPA List,
White Oak High School,Wind Ensemble,John Russell/Matthew Langford,2022,V,Bulldog 6,Steve Giove,March,
White Oak High School,Wind Ensemble,John Russell/Matthew Langford,2022,V,Lux Aurumque (Light of Gold),"Whitacre, Eric",MPA List,
White Oak High School,Wind Ensemble,John Russell/Matthew Langford,2022,V,Journey Through Orion,"Giroux, Julie",MPA List,
White Oak High School,Symphonic Band,Matthew Langford,2023,III,Thunderbolt Galop,Fred K. Huffer arranged by Andrew Glover,March,
White Oak High School,Symphonic Band,Matthew Langford,2023,III,Beneath The Sacred Light,"Gillingham, David",MPA List,
White Oak High School,Symphonic Band,Matthew Langford,2023,III,Where the Sun Breaks through the Mist,"Sweeney, Michael",MPA List,
White Oak High School,Wind Ensemble,Matthew Langford/John Russell,2023,V,Marches des Parachutistes Belges,Pierre Leemans arranged by Charles A. Wiley,March,
White Oak High School,Wind Ensemble,Matthew Langford/John Russell,2023,V,Riften Wed,"Giroux, Julie",MPA List,
White Oak High School,Wind Ensemble,Matthew Langford/John Russell,2023,V,Into the Joy of Spring,"Swearingen, James",MPA List,
White Oak High School,Symphonic Band,John Weeks/John Russell,2024,IV,The Alamo March,Karl King,March,
White Oak High School,Symphonic Band,John Weeks/John Russell,2024,IV,Among the Clouds,"Balmages, Brian",MPA List,
White Oak High School,Symphonic Band,John Weeks/John Russell,2024,IV,On the Wings of Swallows,"Sweeney, Michael",MPA List,
White Oak High School,Wind Ensemble,John Russell/John Weeks,2024,V,The Age of Chivalry,Ryan Meeboer,March,
White Oak High School,Wind Ensemble,John Russell/John Weeks,2024,V,They Shall Run and Be Free,"Karrick, Brant",MPA List,
White Oak High School,Wind Ensemble,John Russell/John Weeks,2024,V,Declaration Overture,"Smith, Claude",MPA List,
White Oak High School,Symphonic Band,John Russell/John Weeks,2025,III,Normandy Beach,John Edmundson,March,
White Oak High School,Symphonic Band,John Russell/John Weeks,2025,III,Last Ride of the Pony Express,"Shaffer, David",MPA List,
White Oak High School,Symphonic Band,John Russell/John Weeks,2025,III,Acclamations,"Huckeby, Ed",MPA List,
White Oak High School,Wind Ensemble,John Russell/John Weeks,2025,V,Cradle of Liberty,Al Hayes arr.  Laurie Lafferty,March,
White Oak High School,Wind Ensemble,John Russell/John Weeks,2025,V,I'm Seventeen Come Sunday,Grainger/arr.Wagner,MPA List,
White Oak High School,Wind Ensemble,John Russell/John Weeks,2025,V,Mount Everest,"Galante, Rossano",MPA List,
